fichier,n chiffres,nb de sequences
1 million de pi.txt,408,999594
carree_1M.txt,408,999593
1 million de pi.txt,409,999593
carree_1M.txt,409,999592
1 million de pi.txt,410,999592
carree_1M.txt,410,999591
1 million de pi.txt,411,999591
carree_1M.txt,411,999590
1 million de pi.txt,412,999590
carree_1M.txt,412,999589
1 million de pi.txt,413,999589
carree_1M.txt,413,999588
1 million de pi.txt,414,999588
carree_1M.txt,414,999587
1 million de pi.txt,415,999587
carree_1M.txt,415,999586
1 million de pi.txt,416,999586
carree_1M.txt,416,999585
1 million de pi.txt,417,999585
carree_1M.txt,417,999584
1 million de pi.txt,418,999584
carree_1M.txt,418,999583
1 million de pi.txt,419,999583
carree_1M.txt,419,999582
1 million de pi.txt,420,999582
carree_1M.txt,420,999581
1 million de pi.txt,421,999581
carree_1M.txt,421,999580
1 million de pi.txt,422,999580
carree_1M.txt,422,999579
1 million de pi.txt,423,999579
carree_1M.txt,423,999578
1 million de pi.txt,424,999578
carree_1M.txt,424,999577
1 million de pi.txt,425,999577
carree_1M.txt,425,999576
1 million de pi.txt,426,999576
carree_1M.txt,426,999575
1 million de pi.txt,427,999575
carree_1M.txt,427,999574
1 million de pi.txt,428,999574
carree_1M.txt,428,999573
1 million de pi.txt,429,999573
carree_1M.txt,429,999572
1 million de pi.txt,430,999572
carree_1M.txt,430,999571
1 million de pi.txt,431,999571
carree_1M.txt,431,999570
1 million de pi.txt,432,999570
carree_1M.txt,432,999569
1 million de pi.txt,433,999569
carree_1M.txt,433,999568
1 million de pi.txt,434,999568
carree_1M.txt,434,999567
1 million de pi.txt,435,999567
carree_1M.txt,435,999566
1 million de pi.txt,436,999566
carree_1M.txt,436,999565
1 million de pi.txt,437,999565
carree_1M.txt,437,999564
1 million de pi.txt,438,999564
carree_1M.txt,438,999563
1 million de pi.txt,439,999563
carree_1M.txt,439,999562
1 million de pi.txt,440,999562
carree_1M.txt,440,999561
1 million de pi.txt,441,999561
carree_1M.txt,441,999560
1 million de pi.txt,442,999560
carree_1M.txt,442,999559
1 million de pi.txt,443,999559
carree_1M.txt,443,999558
1 million de pi.txt,444,999558
carree_1M.txt,444,999557
1 million de pi.txt,445,999557
carree_1M.txt,445,999556
1 million de pi.txt,446,999556
carree_1M.txt,446,999555
1 million de pi.txt,447,999555
carree_1M.txt,447,999554
1 million de pi.txt,448,999554
carree_1M.txt,448,999553
1 million de pi.txt,449,999553
carree_1M.txt,449,999552
1 million de pi.txt,450,999552
carree_1M.txt,450,999551
1 million de pi.txt,451,999551
carree_1M.txt,451,999550
1 million de pi.txt,452,999550
carree_1M.txt,452,999549
1 million de pi.txt,453,999549
carree_1M.txt,453,999548
1 million de pi.txt,454,999548
carree_1M.txt,454,999547
1 million de pi.txt,455,999547
carree_1M.txt,455,999546
1 million de pi.txt,456,999546
carree_1M.txt,456,999545
1 million de pi.txt,457,999545
carree_1M.txt,457,999544
1 million de pi.txt,458,999544
carree_1M.txt,458,999543
1 million de pi.txt,459,999543
carree_1M.txt,459,999542
1 million de pi.txt,460,999542
carree_1M.txt,460,999541
1 million de pi.txt,461,999541
